Date,_AEXD,_AORDD,_ATXD,_BFXD,_FCHID,_FTSED,_GDAXD,_GSPTSED,_HSID,_IBEXD,_ISEQD,_N225D,_OMXH25D,_PSI20D,_SPXD,_SSMID
1995-08-22,279.2897984,1559.087205,1355.398844,1955.433748,2535.945132,5413.586873,2971.246452,3393.569469,1155.519876,4608.828885,2610.962207,184.5355078,1053.545915,5135.142757,559.52,2352.254298
1995-08-23,279.4839332,1555.588527,1355.625225,1954.7573,2528.023924,5420.752236,2986.080636,3390.699043,1179.241991,4612.510303,2643.497349,183.8084379,1040.820667,5121.164624,557.14,2362.22784
1995-08-24,280.8792405,1565.848959,1351.515167,1960.072558,2508.652274,5439.65384,2999.505028,3397.213747,1169.436708,4653.021369,2638.353177,185.431971,1046.432179,5117.505318,557.46,2370.750616
1995-08-25,280.4261226,1574.669047,1344.230966,1952.498783,2500.728113,5458.191236,2991.221693,3414.652287,1172.646684,4638.549004,2634.232416,183.8665287,1035.047487,5088.652716,560.1,2391.965614
1995-08-28,281.6051266,1581.808493,1352.821499,1969.953986,2454.54668,5405.247068,2988.702009,3419.334927,1182.116237,4637.81066,2647.941377,184.5063579,1040.699989,5154.301152,559.05,2386.837748
1995-08-29,277.7366729,1601.915391,1345.666489,1950.907796,2458.072364,5405.247068,2954.703972,3395.136794,1182.116237,4590.929462,2644.476582,184.713791,1024.277916,5094.812877,560.0,2372.473295
1995-08-30,277.6978417,1607.630023,1343.471778,1952.777892,2483.49857,5415.76507,2965.477395,3381.982535,1187.917027,4582.127002,2638.840188,181.5638566,1026.490992,5099.945598,560.92,2406.48729
1995-08-31,278.5605738,1601.712097,1349.559426,1955.98454,2448.80645,5388.596219,2983.137338,3364.394935,1185.813987,4553.990923,2642.270323,185.9127758,1033.115263,5116.656737,561.88,2417.955112
1995-09-01,280.6210046,1603.788963,1366.03058,1957.320829,2442.722465,5458.702598,2987.376614,3369.224968,1188.051584,4574.211234,2631.173355,186.1397021,1031.164667,5115.810321,563.84,2440.050167
1995-09-04,282.7031963,1590.354302,1370.516375,1958.069464,2467.166827,5464.091826,3005.711343,3400.55921,1195.348052,4576.859849,2619.269687,181.8493852,1025.508495,5114.718254,569.17,2462.63553
1995-09-05,283.7480181,1596.571762,1375.214223,1964.738964,2470.444568,5501.323626,3030.88759,3400.55921,1191.359581,4576.13148,2640.763824,182.2408849,1036.923392,5113.594067,569.17,2475.91675
1995-09-06,282.5769463,1614.615518,1353.723162,1948.547042,2427.028023,5514.958921,3016.37587,3422.215644,1187.559535,4571.516434,2617.545017,178.2539201,1056.636909,5078.27262,570.17,2474.917574
