,MCK,MCK Volume,A,A Volume,PFE,PFE Volume,AMGN,AMGN Volume,CVS,CVS Volume
35,35.380001,-0.1207397488902601,20.214592,-0.06614085932851323,41.110001000000004,-0.055301021406739696,57.549999,0.1503419230773176,13.58,-0.0231507404314708
36,33.959998999999996,0.20472238654623767,20.743919,-0.07277132574132143,40.82,-0.05527995724381246,58.970001,0.0010060742920622672,14.075,-0.02118294521885896
37,34.110001000000004,0.14542615926146124,21.251789000000002,-0.04041112904518225,41.02,-0.05428129023360172,58.619999,-0.02320609522016555,14.385,-0.027830993086124644
38,34.669998,-0.007240457936470212,21.917025,0.09336439850261528,41.25,-0.05066352025084958,57.869999,0.006281515874494089,13.735,0.013496075891074358
39,35.25,-0.024008127573251423,22.281832,-0.0004266294329875984,40.959998999999996,-0.0557226808110509,57.98,-0.006083572931638788,13.66,-0.011424837452208465
40,33.700001,0.10597659221241594,23.597998,0.08833653929246038,41.639998999999996,-0.0510565925769024,58.529999,-0.006125955412550983,14.015,-0.004102887114870232
41,32.189999,0.26327452443626786,25.007153,0.07191439958197632,41.889998999999996,-0.050764703462053605,59.880001,0.036944063523330684,14.675,0.015692997943510863
42,30.809998999999998,0.5733801942605031,24.964235000000002,0.03497008617344208,40.599998,-0.024805755674605762,58.939999,-0.015433619137323574,14.95,0.03512497566805278
43,32.07,0.35909527770108723,24.620888,0.008690261884623691,40.540001000000004,0.006729553102060262,60.59,0.02782829825379942,15.565,0.03853155265426952
44,32.919998,0.16030794715638566,24.892704000000002,-0.04815278534907502,39.98,-0.025638542401764552,59.799999,-0.008208583432930785,15.205,0.004984687694058077
45,33.419998,0.12686241177529262,25.815451,0.04542920686444264,40.009997999999996,-0.04442025281752456,59.720001,-0.01328741739557548,15.425,-0.01161689965617914
46,33.939999,0.041689834331841605,25.901287,0.022471950368768194,40.049999,-0.047038603498532845,59.400002,-0.019587102266718677,15.545,-0.023453996543003446
47,34.529999,0.04279313929646531,25.758226,0.010692604064597853,39.849998,-0.04731507063695277,59.59,-0.04896287070341558,16.325001,0.0002100886935940751
48,35.360001000000004,0.16977584324815653,25.529327,0.114693376742047,40.049999,-0.0488298096388807,59.860001000000004,-0.0219252024637081,16.375,0.10807828756575646
49,36.27,0.11301978320751378,25.507868,-0.011157129833361949,39.950001,-0.05086814354785698,60.25,-0.02098219226341176,16.690001000000002,0.03916165146378735
50,37.220001,0.095110321223622,26.688126,0.02598888471051768,41.369999,0.0016813007690891192,61.41,0.00035385500246904497,17.155001000000002,0.16086169853418877
51,38.110001000000004,0.23811660541734822,26.509297999999998,0.05774764529399064,40.66,-0.05136089450204759,62.48,0.004042308132966455,17.700001,0.06258650132350911
52,38.970001,0.1930093931427325,26.180258,-0.02890682974375561,40.73,-0.06404001600117518,62.310001,-0.02430097597706392,17.605,0.03521258298916222
53,37.259997999999996,0.06928528757492988,24.577969,0.059075205493900246,40.080002,-0.05270900092939045,61.060001,-0.020645486998387103,17.32,-0.011505705748617171
54,37.93,-0.11583902218693154,25.264664,-0.056605896566731505,40.150002,-0.04203172719988305,62.240002000000004,-0.021992308058485743,17.225,-0.038118114291782086
55,38.389998999999996,-0.08738401740163641,24.585121,-0.05645187024519503,40.509997999999996,-0.04835699441031765,61.799999,-0.015407718732321676,17.24,-0.04449323165866839
56,38.09,-0.13159319075155843,23.884121,-0.05100227229749979,40.200001,-0.050718813678533564,60.380001,-0.019618889127402825,17.135,-0.04823002085522067
57,37.52,-0.062110636235256166,23.97711,-0.0045449998874033185,39.939999,-0.05589044182293564,60.630001,-0.020979837681138862,17.0,-0.02986617854574374
58,37.830002,-0.09500451913403737,23.783978,0.055737968527276645,39.919998,-0.053089284299380306,60.849998,-0.024146750838188985,16.885,-0.023666275821076298
59,37.43,-0.08964194384086632,25.007153,-0.004009575055395575,39.740002000000004,-0.05492901324361411,59.68,-0.012500986916426973,17.165001,-0.019107325611035512
60,37.799999,-0.11050210514875175,26.130186,-0.009121782013058544,40.110001000000004,-0.060602043694837626,61.389998999999996,-0.021622638641640487,17.25,-0.029532596823057828
61,37.32,-0.11323470930531977,25.536479999999997,0.10987455325397731,39.91,-0.05640989912655185,59.75,-0.03450691283894775,16.815001000000002,-0.028592502877306625
62,36.799999,-0.057684587249265715,25.071531,0.012955324073836054,40.0,-0.048048931027506875,59.939999,-0.021132885528877345,16.719998999999998,-0.036328903233739475
63,35.599998,0.25016315613573964,24.420601,-0.03182232797283887,39.0,-0.019096239084026148,58.970001,-0.00021359932529978743,16.77,-0.039708524121153305
64,35.18,0.10507855328772223,24.241774,-0.08774121727731873,38.0,0.008156650140380247,58.220001,-0.009436498088247989,16.870001000000002,-0.03488675194778422
65,35.580002,-0.05330985477325777,24.463520000000003,-0.038493134612716154,38.470001,-0.028557433550252448,58.990002000000004,0.016976028558004615,16.91,-0.04134273761107923
66,35.52,-0.03256515561283296,23.46209,-0.033846673913032525,38.700001,-0.04207197479690473,56.360001000000004,0.08054504076175124,17.790001,0.08750741466679193
67,36.709998999999996,0.03794372910311925,23.733906,0.049213853622196,39.34,-0.040952188849862396,58.639998999999996,0.018787879617000947,17.620001000000002,-0.004817223733147132
68,36.240002000000004,-0.03813299694593399,22.997139,0.03261568382995598,38.900002,-0.03845382866838603,57.169998,-0.0002289041100736356,17.325001,-0.009922034943946683
69,36.619999,-0.1159673134618878,23.1402,-0.02467110590150258,39.290001000000004,-0.045000269589556566,57.209998999999996,-0.04811286650289878,17.5,-0.03731953986474612
70,36.23,-0.09459398705417739,23.204578,-0.05318064455922992,39.0,-0.054270005860604986,56.849998,-0.021238841731157834,17.355,0.008003770759983092
71,37.02,-0.11278568984297291,24.248926,0.20163756795601662,39.900002,-0.044895324920686965,57.75,-0.040745378570995555,17.615,-0.024481697809864082
72,36.849998,-0.07177096923946141,25.014307000000002,0.01677297647191866,37.849998,0.06569378732188169,56.439999,-0.028462700144414172,17.190001000000002,-0.022753137974127997
73,38.43,0.01386345679383208,24.749641,-0.0010867422395724865,38.220001,-0.014404949083518281,57.52,-0.024216211015239526,17.219998999999998,-0.04350933405236247
74,38.740002000000004,-0.05329702564576214,25.035764999999998,-0.0052234491608377865,37.799999,-0.03776322504098606,56.82,-0.025672520151028003,17.200001,-0.02969433341587524
75,39.529999,0.221348935780567,24.14163,-0.034976200270966665,37.110001000000004,-0.02756139956040761,56.02,-0.026404795237899816,17.165001,-0.046177987833849764
76,38.639998999999996,-0.05368189947063087,23.111588,0.1584368520584056,36.700001,-0.03129690316809231,54.75,0.04016630936379395,17.110001,-0.04341161819420195
77,38.630001,-0.12149666741250195,22.267525,0.006724592638348691,36.490002000000004,-0.049146148228555744,56.110001000000004,0.011797124848761682,16.959999,-0.03643335811660072
78,40.419998,0.1702761792204859,22.138769,-0.015370849915395486,37.57,-0.007848728372417242,55.200001,0.02189004176154633,16.700001,-0.018389619480408247
