,AAPL,AAPL Volume,TRV,TRV Volume,GD,GD Volume,PFE,PFE Volume,UL,UL Volume
632,2.152857,-0.11287518586746298,38.68,-0.00954275353672835,50.130001,-0.009113497678120678,33.939999,-0.030418226657413484,21.672222,-0.07468025161041834
633,2.145,-0.12218293186133015,38.720001,-0.028102676442692306,50.450001,-0.035064054835303636,34.0,-0.04494685689070537,21.594444,-0.10527795560886989
634,2.081429,-0.007241410752962209,38.82,-0.04433928362894171,50.785,-0.0043195779590074895,33.619999,-0.03507716812199739,21.566668,-0.07642380792764855
635,2.087143,-0.08144187738885947,39.110001000000004,-0.08781721100970677,50.794998,-0.035757390331869594,34.16,-0.04119818818119114,21.244444,-0.05266357968304092
636,2.112857,0.11583216344506812,38.950001,-0.04192729173671897,49.224998,0.01961040146532611,34.009997999999996,-0.04508114092936648,21.35,0.04702681680800346
637,2.352143,0.46963493858654953,38.830002,0.18904753479536093,48.665001000000004,-0.01864851155470393,32.580002,0.018808722103528283,21.222220999999998,0.03871928376708309
638,2.3,-0.016064422601876956,38.299999,0.0437338909061916,48.5,-0.016198726133504218,32.380001,0.05978340889196026,21.444445,0.08695767521045196
639,2.283571,0.0009395409565857309,38.0,0.0078111734231242356,48.950001,-0.015683676907483794,32.110001000000004,-0.0320977175050937,21.244444,-0.03652713690396926
640,2.3,-0.07856748895036965,37.73,0.1324632691178855,48.825001,-0.010143596130161527,32.330002,-0.02488023253638419,21.044445,0.10015400341537073
641,2.258571,-0.08710561318777728,37.0,0.007509674436596394,48.775002,-0.008968227383602095,32.0,-0.022705733859914017,20.755556,-0.043603924309197725
642,2.262857,-0.07463008703610698,36.549999,0.08463134166696835,48.380001,-0.02542999303063953,32.509997999999996,-0.024283665350623648,20.861110999999998,-0.0740648787925724
643,2.192857,-0.09761669043621933,35.66,0.4731837267461001,48.709998999999996,-0.015974217496520955,32.299999,-0.043067632640983004,20.638889000000002,-0.08835520311810618
644,2.232857,-0.05192199316664711,36.68,0.23892788183121724,48.535,-0.04242001429410817,31.74,-0.00649874121624159,20.6,-0.0751246875344182
645,2.3164290000000003,-0.0401246696125199,37.400002,0.1567694080023801,49.07,-0.04061073880783129,32.099998,-0.02661163149984937,20.744444,-0.05567206901473224
646,2.305,-0.0932583351855506,37.150002,0.0046897721508359835,49.255001,-0.029088163174425627,31.620001000000002,-0.0012011042400426795,20.005556,0.047231941080618775
647,2.331429,-0.11713574387836061,36.799999,0.032800118835931896,49.674999,-0.024690435167635843,31.93,-0.0415811045715469,20.116667,0.050240430412310105
648,2.31,-0.10921416745690124,37.07,-0.07142985433019344,49.41,-0.03872222497908973,31.959999,-0.03659867774772336,19.916666,0.1494180162218162
649,2.2557139999999998,-0.06287103196710758,36.619999,-0.030647682593677332,50.014998999999996,-0.0402739758523564,32.200001,-0.047193575554354626,19.777779000000002,0.005557526360940074
650,2.235,-0.12113267454726656,37.16,0.06522899512217661,49.294998,-0.04237379192767044,32.450001,-0.025413607233363035,19.655556,-0.04545004276273558
651,2.270714,-0.096509030394464,36.48,0.011234073681940331,49.375,-0.03817415977704236,32.400002,-0.043259843127694,19.672222,-0.03628782525258473
