,AAPL,IBM,ORCL,AMZN,MSFT,GS,MS,JPM,AXP,TRV,MCK,A,PFE,AMGN,CVS,GE,DE,GD,CAT,UTX,EL,UL,NKE,HAS,SNE
844,64.96285999999999,202.470001,33.779999,264.51001,33.029999,149.630005,23.68,49.669998,69.790001,86.5,114.610001,30.786839,29.370001000000002,106.889999,58.549999,22.85,92.58000200000001,75.199997,88.07,94.949997,71.019997,42.619999,32.325001,47.459998999999996,18.889999
845,63.408573,203.21000700000002,33.669998,268.329987,33.529999,154.520004,24.27,50.23,71.510002,87.900002,115.120003,31.452074,29.4,107.940002,60.07,23.01,93.769997,76.639999,87.550003,95.93,71.800003,43.07,32.955002,47.509997999999996,20.76
846,61.264286,203.320007,33.990002000000004,266.559998,33.849998,155.610001,24.860001,51.09,72.779999,87.779999,116.239998,32.675251,29.559998999999998,107.41999799999999,60.349998,23.24,89.639999,76.610001,87.0,95.809998,71.629997,43.540001000000004,32.915001000000004,47.610001000000004,20.450001
847,62.082859,204.690002,34.369999,264.119995,34.080002,154.470001,24.58,50.970001,72.230003,86.870003,115.410004,32.181686,29.25,104.970001,59.369999,23.27,89.389999,76.139999,86.779999,95.16999799999999,70.779999,43.25,32.220001,47.209998999999996,20.1
848,61.894287,208.440002,35.029999,269.899994,34.869999,158.179993,25.190001000000002,52.299999,73.32,86.5,116.889999,32.589413,28.959999,105.629997,59.439999,23.459999,86.970001,78.290001,87.66999799999999,97.349998,70.849998,43.220001,32.66,47.91,20.34
849,63.275715000000005,207.600006,34.900002,267.630005,35.080002,158.899994,25.07,52.290001000000004,74.400002,85.550003,118.019997,33.147354,28.700001,102.18,58.98,23.57,88.040001,78.599998,88.33000200000001,97.230003,71.459999,43.27,32.665001000000004,47.700001,20.969998999999998
850,62.80857099999999,208.649994,35.099998,268.859985,34.849998,160.729996,25.120001000000002,53.02,75.110001,83.629997,118.410004,33.440628000000004,28.780001000000002,104.239998,59.509997999999996,23.66,87.589996,77.980003,88.099998,97.550003,71.120003,43.259997999999996,32.615002000000004,48.459998999999996,22.91
851,63.049999,206.990005,34.119999,262.959991,34.610001000000004,159.33999599999999,24.700001,53.630001,74.440002,83.769997,117.550003,33.075821000000005,29.299999,104.529999,58.700001,23.860001,86.83000200000001,77.41999799999999,87.699997,96.25,70.139999,43.060001,32.224998,47.48,22.15
852,63.162856999999995,206.16000400000001,34.23,261.799988,34.150002,157.41000400000001,24.25,53.349998,74.690002,83.5,117.279999,32.71817,29.110001,105.620003,58.330002,23.66,87.18,76.940002,86.949997,95.489998,70.33000200000001,43.290001000000004,31.665001,46.970001,21.629998999999998
853,63.592856999999995,205.720001,34.049999,261.73999,34.27,158.720001,24.35,53.66,75.269997,83.599998,117.309998,32.610874,29.040001,105.910004,59.200001,23.530001000000002,86.290001,77.339996,86.209999,95.040001,70.949997,43.23,31.395,47.16,20.959999
